layerID layerLabel
220 Oil,_maize
221 Oil,_olive_residues
222 Oil,_palm_kernel
223 Oil,_sesame
224 Oils,_fats_of_animal_nes
225 Olives
226 Olives_preserved
227 Peaches_and_nectarines
228 Pineapples_canned
229 Pistachios
230 Plums_and_sloes
231 Pumpkins,_squash_and_gourds
232 Quinces
233 Juice,_tomato
234 Meat,_nes
235 Grain,_mixed
236 Hides,_cattle,_wet_salted
237 Hides,_nes
238 Juice,_citrus,_concentrated
239 Juice,_grape
240 Juice,_grapefruit,_concentrated
241 Juice,_lemon,_concentrated
242 Juice,_pineapple,_concentrated
243 Maple_sugar_and_syrups
244 Meat,_duck
245 Meat,_goose_and_guinea_fowl
246 Meat,_horse
247 Meat,_rabbit
248 Oats
249 Offals,_liver_duck
250 Offals,_sheep,edible
251 Oil,_linseed
252 Oil,_rapeseed
253 Oil,_soybean
254 Peas,_dry
255 Peas,_green
256 Onions,_shallots,_green
257 Juice,_grapefruit
258 Hair,_fine
259 Ginger
260 Mangoes,_mangosteens,_guavas
261 Mat̩
262 Meal,_meat
263 Oil,_castor_beans
264 Papayas
265 Mustard_seed
266 Poppy_seed
267 Oil,_safflower
268 Millet
269 Meat,_goat
270 Peanut_butter
271 Germ,_maize
272 Pigeons,_other_birds
273 Maize,_green
274 Meat,_game
275 Offals,_liver_geese
276 Plantains
277 Mules
278 Meat,_beef_and_veal_sausages
279 Pyrethrum,_dried
280 Persimmons
281 Kola_nuts
282 Margarine,_liquid
283 Oil,_citronella
284 Manila_fibre_(abaca)
285 Hay_(unspecified)
286 Oil,_rice_bran
287 Gooseberries
288 Peppermint
289 Offals,_edible,_goats
290 Pyrethrum,_extraction
291 Rice,_milled
292 Sugar_refined
293 Tea
294 Wheat
295 Sugar_confectionery
296 Tobacco_products_nes
297 Yoghurt,_concentrated_or_not
298 Tallow
299 Tangerines,_mandarins,_clementines,_satsumas
300 Wafers
301 Sheep
302 Wine
303 Spices,_nes
304 Sugar,_nes
305 Tea,_mate_extracts
306 Turkeys
307 Vegetables,_dehydrated
308 Vegetables,_homogenized_preparations
309 Vegetables,_preserved_nes
310 Waters,ice_etc
311 Rice,_husked
312 Vermouths_&_similar
313 Watermelons
314 Rye
315 Sunflower_seed
316 Sweet_corn_frozen
317 Tomatoes,_paste
318 Vegetables,_frozen
319 Walnuts,_shelled
320 Walnuts,_with_shell
321 Raisins
322 Rice,_broken
323 Rice,_paddy
324 Tomatoes,_peeled
325 Vegetables_in_vinegar
326 Vegetables,_temporarily_preserved
327 Sesame_seed
328 Rubber_natural_dry
329 Strawberries
330 Tomatoes
331 Vanilla
332 Vegetables,_fresh_nes
333 Vegetables,_preserved,_frozen
334 Waxes_vegetable
335 Whey,_dry
336 Sweet_corn_prep_or_preserved
337 Sugar_Raw_Centrifugal
338 Rubber,_natural
339 Skins,_sheep,_with_wool
340 Soya_sauce
341 Spinach
342 Vegetables,_fresh_or_dried_products_nes
343 Sweet_potatoes
344 Straw_husks
345 Soybeans
346 Rapeseed
347 Sorghum
348 Wool,_degreased
349 Wool,_greasy
350 Starch,_cassava
351 Tobacco,_unmanufactured
352 Silk_raw
353 Roots_and_tubers,_nes
354 Triticale
355 Whey,_condensed
356 Wool,_hair_waste
357 Sugar_beet
358 Skins,_goat,_wet_salted
359 Skins,_sheep,_dry_salted
360 Rabbits_and_hares
361 Silk-worm_cocoons,_reelable
362 Skins,_calve,_wet_salted
363 Rice,_milled/husked
364 Skins,_sheep,_wet_salted
